term,run_fixed_effects_spec,run_ols_spec,run_pooled_ols_spec
const,0.5406***,0.5406***,0.5406***
,(0.0000),(0.0000),(0.0000)
z_L1_risk,0.2722***,0.2722***,0.2722***
,(0.0000),(0.0000),(0.0000)
z_degradation_index,0.0000,0.0000,0.0000
,(0.0000),(0.0000),(0.0000)
z_pc2,0.0000,0.0000*,0.0000*
,(0.0000),(0.0000),(0.0000)
z_op_setting1,-0.0000,0.0000,0.0000
,(0.0000),(0.0000),(0.0000)
z_op_setting2,0.0000,-0.0000,-0.0000
,(0.0000),(0.0000),(0.0000)
z_op_setting3,-0.0000,0.0000,0.0000
,(0.0000),(0.0000),(0.0000)
z_op_setting4,-0.0000,0.0000,0.0000
,(0.0000),(0.0000),(0.0000)
z_sensor_mean_z,,0.0000,0.0000
,,(0.0000),(0.0000)
