candidate,candidate_Ze,closest_stata_index,closest_stata_Ze,abs_diff,target_stata_index,target_stata_Ze,target_abs_diff
D:y:L5,7.344990014709751,6,6.393391375390885,0.951598639318866,7,19.85032359679903,12.505333582089278
D:x:L3,6.393383435056227,6,6.393391375390885,7.94033465822963e-06,7,19.85032359679903,13.456940161742803
L:diff:y:reverse_lag1_y_tminus2_minus_y_tminus1,0.44352977325402065,6,6.393391375390885,5.949861602136864,7,19.85032359679903,19.40679382354501
L:diff:y:lag1_y_tminus1_minus_y_tminus2,-0.44352977325402065,6,6.393391375390885,6.8369211486449055,7,19.85032359679903,20.29385337005305
D:y:L3,40.63679071778037,3,40.63679497167301,4.253892640804224e-06,7,19.85032359679903,20.786467120981342
D:L.y:L2_equiv_y_L3,40.63679071778037,3,40.63679497167301,4.253892640804224e-06,7,19.85032359679903,20.786467120981342
D:x:L6,46.33409162620735,3,40.63679497167301,5.697296654534341,7,19.85032359679903,26.483768029408324
D:L.y:L3_equiv_y_L4,-11.405530673770542,5,-11.40552750780587,3.165964672646737e-06,7,19.85032359679903,31.25585427056957
D:y:L4,-11.405530673770542,5,-11.40552750780587,3.165964672646737e-06,7,19.85032359679903,31.25585427056957
D:x:L4,-16.172766876289607,5,-11.40552750780587,4.767239368483738,7,19.85032359679903,36.02309047308864
