spec,candidate,native_candidate,stata_chi2_J,abs_diff_chi2_J,stata_chi2_J_u,abs_diff_chi2_J_u,small_scale,native_j_stored,native_j_unscaled_est
fod_diff_endog_x_onestep,native_j_stored_times_6,9.097782068379173,9.077070104207634,0.02071196417153942,9.36190073762022,0.26411866924104643,0.96875,1.5162970113965288,1.5652098182157717
fod_diff_endog_x_onestep,native_j_unscaled_times_6,9.39125890929463,9.077070104207634,0.31418880508699587,9.36190073762022,0.029358171674410016,0.96875,1.5162970113965288,1.5652098182157717
fod_diff_endog_x_onestep,native_j_unscaled_times_rank_plus_zrank_minus_df,9.39125890929463,9.077070104207634,0.31418880508699587,9.36190073762022,0.029358171674410016,0.96875,1.5162970113965288,1.5652098182157717
fod_diff_endog_x_onestep,native_j_unscaled_times_zrank,7.8260490910788585,9.077070104207634,1.2510210131287751,9.36190073762022,1.535851646541361,0.96875,1.5162970113965288,1.5652098182157717
fod_diff_endog_x_onestep,native_j_unscaled_est,1.5652098182157717,9.077070104207634,7.511860285991862,9.36190073762022,7.796690919404448,0.96875,1.5162970113965288,1.5652098182157717
fod_diff_endog_x_onestep,native_j_stored,1.5162970113965288,9.077070104207634,7.560773092811105,9.36190073762022,7.845603726223691,0.96875,1.5162970113965288,1.5652098182157717
fod_diff_endog_x_twostep,native_j_stored,,9.125329349119523,,7.158158479743374,,,,
fod_diff_endog_x_twostep,native_j_unscaled_est,,9.125329349119523,,7.158158479743374,,,,
fod_diff_endog_x_twostep,native_j_stored_times_6,,9.125329349119523,,7.158158479743374,,,,
fod_diff_endog_x_twostep,native_j_unscaled_times_6,,9.125329349119523,,7.158158479743374,,,,
fod_diff_endog_x_twostep,native_j_unscaled_times_zrank,,9.125329349119523,,7.158158479743374,,,,
fod_diff_endog_x_twostep,native_j_unscaled_times_rank_plus_zrank_minus_df,,9.125329349119523,,7.158158479743374,,,,
fod_diff_predet_x_onestep,native_j_unscaled_times_6,8.96261683060423,9.012588209482166,0.049971378877936345,9.814735843837235,0.8521190132330059,0.96875,1.4470891757746414,1.4937694717673717
fod_diff_predet_x_onestep,native_j_unscaled_times_rank_plus_zrank_minus_df,8.96261683060423,9.012588209482166,0.049971378877936345,9.814735843837235,0.8521190132330059,0.96875,1.4470891757746414,1.4937694717673717
fod_diff_predet_x_onestep,native_j_stored_times_6,8.682535054647849,9.012588209482166,0.3300531548343173,9.814735843837235,1.1322007891893868,0.96875,1.4470891757746414,1.4937694717673717
fod_diff_predet_x_onestep,native_j_unscaled_times_zrank,7.468847358836859,9.012588209482166,1.5437408506453068,9.814735843837235,2.3458884850003763,0.96875,1.4470891757746414,1.4937694717673717
fod_diff_predet_x_onestep,native_j_unscaled_est,1.4937694717673717,9.012588209482166,7.518818737714794,9.814735843837235,8.320966372069863,0.96875,1.4470891757746414,1.4937694717673717
fod_diff_predet_x_onestep,native_j_stored,1.4470891757746414,9.012588209482166,7.565499033707525,9.814735843837235,8.367646668062594,0.96875,1.4470891757746414,1.4937694717673717
fod_diff_predet_x_twostep,native_j_stored,,9.28671138428686,,9.297059993493,,,,
fod_diff_predet_x_twostep,native_j_unscaled_est,,9.28671138428686,,9.297059993493,,,,
fod_diff_predet_x_twostep,native_j_stored_times_6,,9.28671138428686,,9.297059993493,,,,
fod_diff_predet_x_twostep,native_j_unscaled_times_6,,9.28671138428686,,9.297059993493,,,,
fod_diff_predet_x_twostep,native_j_unscaled_times_zrank,,9.28671138428686,,9.297059993493,,,,
fod_diff_predet_x_twostep,native_j_unscaled_times_rank_plus_zrank_minus_df,,9.28671138428686,,9.297059993493,,,,
