spec,status,term_norm,term_stata,term_native,stata_coef,native_coef,coef_abs_diff,stata_std_err,native_std_err,se_abs_diff
fod_diff_endog_x_onestep,COMPARED,L1.y,L.y,L1.y,0.473942186551745,0.4739421943302043,7.778459265583848e-09,0.0310182024092184,0.0312081554703279,0.00018995306110949906
fod_diff_endog_x_onestep,COMPARED,x,x,x,0.8900320917426116,0.8900321540714752,6.23288636258934e-08,0.4039213833111488,0.406394961126169,0.0024735778150202226
fod_diff_endog_x_onestep,COMPARED,w,w,w,-0.3459311796136544,-0.3459311849362922,5.322637830484922e-09,0.0294854664718536,0.029666032214948,0.0001805657430943991
fod_diff_endog_x_twostep,COMPARED,L1.y,L.y,L1.y,0.4886098941393419,0.4886099058104861,1.1671144162228586e-08,0.0417824469689617,0.0437420665215955,0.0019596195526337956
fod_diff_endog_x_twostep,COMPARED,x,x,x,1.048705483727288,1.0487056019174985,1.181902105074073e-07,0.5085459070572449,0.5156755038214594,0.007129596764214541
fod_diff_endog_x_twostep,COMPARED,w,w,w,-0.3566670663670232,-0.3566670772009129,1.0833889674266572e-08,0.0499534896803598,0.0468593947496876,0.0030940949306721977
fod_diff_predet_x_onestep,COMPARED,L1.y,L.y,L1.y,0.4730914836802321,0.4730914867459001,3.065667997237398e-09,0.016371395556011,0.0164716516107384,0.00010025605472739965
fod_diff_predet_x_onestep,COMPARED,x,x,x,0.8070770932060825,0.8070770978990662,4.692983779364113e-09,0.0135422548849941,0.0136251855123835,8.293062738939927e-05
fod_diff_predet_x_onestep,COMPARED,w,w,w,-0.3417782631112299,-0.3417782648460739,1.7348439906861302e-09,0.0140246547344877,0.0141105401326467,8.588539815899965e-05
fod_diff_predet_x_twostep,COMPARED,L1.y,L.y,L1.y,0.4757914353906046,0.4757914382089328,2.8183282374527607e-09,0.0185985210729674,0.0180995645509554,0.0004989565220119979
fod_diff_predet_x_twostep,COMPARED,x,x,x,0.8000003318473754,0.8000003363547514,4.507376027973464e-09,0.0151709979793193,0.0147394326505982,0.000431565328721099
fod_diff_predet_x_twostep,COMPARED,w,w,w,-0.3376420593752961,-0.3376420609366014,1.5613052517515769e-09,0.0150704107428611,0.0148760622447126,0.00019434849814850032
