spec,metric,stata,native,abs_diff,status,native_found,native_file
fod_diff_endog_x_onestep,N,1248.0,1152.0,96.0,CONVENTION_DIFFERENCE_MARKED_VS_EFFECTIVE_SAMPLE,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,N_g,96.0,96.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,rank,3.0,3.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,zrank,5.0,5.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,chi2_J,9.077070104207634,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,p_J,0.0106890539965446,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,chi2_J_u,9.36190073762022,9.361901449876024,7.122558045580263e-07,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,p_J_u,0.0092701995907575,0.0092701962893813,3.301376200193218e-09,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,ar1_z,-3.701708752660295,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,ar1_p,0.0002141523582349,0.6858452255597375,0.6856310732015026,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,ar2_z,1.392848339082235,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_onestep,ar2_p,0.1636656572725258,0.0056451470352359,0.1580205102372899,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_onestep_diagnostics.csv
fod_diff_endog_x_twostep,N,1248.0,1152.0,96.0,CONVENTION_DIFFERENCE_MARKED_VS_EFFECTIVE_SAMPLE,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,N_g,96.0,96.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,rank,3.0,3.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,zrank,5.0,5.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,chi2_J,9.125329349119523,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,p_J,0.0104342180710234,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,chi2_J_u,7.158158479743374,7.158157012000981,1.4677423934017497e-06,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,p_J_u,0.0279013769068744,0.0279013973828987,2.0476024299720397e-08,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,ar1_z,-1.719696566991883,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,ar1_p,0.0854876121963456,0.9867281431901048,0.9012405309937592,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,ar2_z,0.843951860229936,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_endog_x_twostep,ar2_p,0.3986963067698245,0.121178240617363,0.2775180661524615,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_endog_x_twostep_diagnostics.csv
fod_diff_predet_x_onestep,N,1248.0,1152.0,96.0,CONVENTION_DIFFERENCE_MARKED_VS_EFFECTIVE_SAMPLE,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,N_g,96.0,96.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,rank,3.0,3.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,zrank,5.0,5.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,chi2_J,9.012588209482166,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,p_J,0.0110392949351641,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,chi2_J_u,9.814735843837235,9.814737717633086,1.8737958509262853e-06,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,p_J_u,0.0073919188564222,0.0073919119309519,6.925470299665171e-09,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,ar1_z,-7.372446775101257,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,ar1_p,1.6752448613600001e-13,0.5641387884638744,0.5641387884637069,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,ar2_z,1.65225335042355,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_onestep,ar2_p,0.0984829147508442,0.0013283714968907,0.0971545432539535,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_onestep_diagnostics.csv
fod_diff_predet_x_twostep,N,1248.0,1152.0,96.0,CONVENTION_DIFFERENCE_MARKED_VS_EFFECTIVE_SAMPLE,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,N_g,96.0,96.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,rank,3.0,3.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,zrank,5.0,5.0,0.0,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,chi2_J,9.28671138428686,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,p_J,0.0096253436827851,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,chi2_J_u,9.297059993493,9.297061830099578,1.8366065770436535e-06,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,p_J_u,0.0095756678524326,0.0095756590590693,8.793363299661183e-09,MATCH,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,ar1_z,-7.316420394604412,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,ar1_p,2.54672983572e-13,0.6264199255863442,0.6264199255860895,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,ar2_z,1.678728723745238,,,MISSING_NATIVE,False,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
fod_diff_predet_x_twostep,ar2_p,0.0932049252599807,0.0014147491836981,0.09179017607628259,DIFFERENT,True,artifacts\parity\xtdpdgmm\fod_diff\native_fod_diff_predet_x_twostep_diagnostics.csv
