model,term,coef,std_err,t,p_value,ci_lower,ci_upper,z
OLS robust,_con,1.8039,0.4681,3.8535,0.0001,0.8837,2.7241,
OLS robust,investment,1.0911,0.0673,16.2139,0.0,0.9588,1.2234,
OLS robust,leverage,0.568,0.3206,1.7714,0.0772,-0.0623,1.1982,
OLS robust,size,-0.5332,0.1354,-3.938,0.0001,-0.7993,-0.267,
OLS robust,cashflow,-0.1347,0.1138,-1.1836,0.2372,-0.3584,0.089,
Pooled OLS clustered,_con,1.8039,0.8056,2.2393,0.0284,0.2204,3.3875,
Pooled OLS clustered,investment,1.0911,0.0872,12.5062,0.0,0.9196,1.2626,
Pooled OLS clustered,leverage,0.568,0.3438,1.6522,0.103,-0.1078,1.2437,
Pooled OLS clustered,size,-0.5332,0.2365,-2.2547,0.0273,-0.998,-0.0683,
Pooled OLS clustered,cashflow,-0.1347,0.1272,-1.0591,0.2932,-0.3847,0.1153,
Two-way FE,const,-0.5983,1.5234,-0.3928,0.6945,,,
Two-way FE,investment,0.9345,0.0651,14.3557,0.0,,,
Two-way FE,leverage,0.0067,0.268,0.0248,0.9802,,,
Two-way FE,size,0.1662,0.4724,0.3518,0.725,,,
Two-way FE,cashflow,-0.0184,0.1021,-0.1804,0.8569,,,
Random effects,const,2.1008,0.6973,,0.0026,,,3.0129
Random effects,investment,0.9703,0.0594,,0.0,,,16.3372
Random effects,leverage,0.0958,0.2433,,0.6937,,,0.3938
Random effects,size,-0.5627,0.2128,,0.0082,,,-2.6445
Random effects,cashflow,-0.0163,0.0908,,0.8573,,,-0.1798
Panel IV/2SLS,const,-0.6329,1.5452,,0.6821,,,-0.4096
Panel IV/2SLS,leverage,-0.1554,0.552,,0.7782,,,-0.2816
Panel IV/2SLS,size,0.1908,0.4655,,0.6819,,,0.4099
Panel IV/2SLS,cashflow,0.0955,0.3857,,0.8044,,,0.2477
Panel IV/2SLS,investment,0.8075,0.4141,,0.0512,,,1.9501
